,name,sales,profit,market
0,삼부토건,376331921995,8997259122,KOSPI
1,이수화학,943467230910,-154633318734,KOSPI
2,대덕전자,614383245689,-12020073671,KOSPI
3,이아이디,77994442466,-20190067595,KOSPI
4,대유에이텍,370576442482,843296101,KOSPI
5,한전산업,321962419265,18494696679,KOSPI
6,에이프로젠제약,31831238395,-925139109,KOSPI
7,미래아이앤지,5772566444,24275913145,KOSPI
8,신원,690237640165,-15193436771,KOSPI
9,신풍제약,187327145261,4294604870,KOSPI
10,대한해운,500046203876,-44429943031,KOSPI
11,금호에이치티,181173914349,-9154529670,KOSPI
12,HMM,6223944000000,59667000000,KOSPI
13,쌍방울,89571692944,-34011885242,KOSPI
14,현대로템,2677456585000,23216999000,KOSPI
15,LG디스플레이,22799273000000,-1202769000000,KOSPI
16,동양철관,147757879740,6300202207,KOSPI
17,대원전선,358784695672,2863155782,KOSPI
18,주연테크,62660877148,-3176838143,KOSPI
19,대한전선,1448315791000,15881848000,KOSPI
20,디아이,101864283840,5510153511,KOSPI
21,제이준코스메틱,26027248023,-13363018552,KOSPI
22,태경비케이,118285730857,3177297979,KOSPI
23,일성건설,340707105151,4534885759,KOSPI
24,범양건영,149130151175,13831526278,KOSPI
25,티웨이항공,269273100420,-176389562326,KOSPI
26,사조동아원,391913286722,13743632140,KOSPI
27,후성,237239900296,13226857544,KOSPI
28,남선알미늄,268474785986,-2642503535,KOSPI
29,두산중공업,3451444902650,-2106389304062,KOSPI
30,아남전자,224335479,6043109,KOSPI
31,광전자,144622090048,-14889642172,KOSPI
32,대유플러스,104126788993,4643698948,KOSPI
33,KEC,190463285862,-45196541320,KOSPI
34,대한항공,7405005608096,-988808937613,KOSPI
35,세원이앤씨,109931867464,-31106557198,KOSPI
36,TYM,387284201393,6229756009,KOSPI
37,대동,637484640282,14835586904,KOSPI
38,KH 필룩스,68067979640,-48618878160,KOSPI
39,한솔홈데코,248115961496,2442031287,KOSPI
40,한창,5849578200,-24562177658,KOSPI
41,대창,421320231752,3738897964,KOSPI
42,동양,444361323539,-16872049486,KOSPI
43,신성통상,1020453496725,20579009598,KOSPI
44,팬오션,2102895000000,91025000000,KOSPI
45,웅진,160111864571,49456763567,KOSPI
46,두산인프라코어,2712338251075,-45275224288,KOSPI
47,넥스트사이언스,14637997900,-28936275373,KOSPI
48,SK하이닉스,30524987000000,5650034000000,KOSPI
49,진원생명과학,35774126191,-17337983349,KOSPI
50,YG PLUS,70470966418,-2836557121,KOSPI
51,에이프로젠 MED,72536685082,-51043463696,KOSPI
52,삼성엔지니어링,5020786128327,310420940968,KOSPI
53,DB,224893353750,8401566116,KOSPI
54,국보,53288998730,-9686758384,KOSPI
55,삼성전자,166311191000000,20451923000000,KOSPI
56,팜스토리,960780357167,36033518040,KOSDAQ
57,자연과환경,29000331061,-4876096195,KOSDAQ
58,케이피엠테크,23208098065,-15690493213,KOSDAQ
59,SM Life Design,25072356358,-1871552489,KOSDAQ
60,아이비김영,45257135476,2457282251,KOSDAQ
61,SFA반도체,543233663558,11326729786,KOSDAQ
62,에스코넥,39784067253,-7318505700,KOSDAQ
63,이트론,41349066553,-9096117750,KOSDAQ
64,퀀타매트릭스,1706230800,-12850293227,KOSDAQ
65,심텍홀딩스,4256048078,19893436834,KOSDAQ
66,심텍,1030768857449,69546231616,KOSDAQ
67,에스에이엠티,1240458342248,34446386226,KOSDAQ
68,드래곤플라이,4169240204,-8279031260,KOSDAQ
69,해성옵틱스,60377415113,-25646201691,KOSDAQ
70,카페24,172419130093,8616232383,KOSDAQ
71,삼지전자,76157432609,11946591760,KOSDAQ
72,딜리,27574172524,-344085886,KOSDAQ
73,조아제약,64104410865,-792156102,KOSDAQ
