,name,sales,profit,market
0,삼부토건,376331921995,8997259122,KOSPI
1,이수화학,943467230910,-154633318734,KOSPI
2,대덕전자,614383245689,-12020073671,KOSPI
3,이아이디,77994442466,-20190067595,KOSPI
4,덕성,107264883829,3576466461,KOSPI
5,인스코비,28795939799,7571406030,KOSPI
6,형지엘리트,61681300400,-2657806284,KOSPI
7,세종공업,332069178414,-14481224255,KOSPI
8,신원,690237640165,-15193436771,KOSPI
9,대한해운,500046203876,-44429943031,KOSPI
10,인디에프,152427063547,-21679624576,KOSPI
11,금호에이치티,181173914349,-9154529670,KOSPI
12,대원화성,102197807961,-2430079915,KOSPI
13,HMM,6223944000000,59667000000,KOSPI
14,쌍방울,89571692944,-34011885242,KOSPI
15,현대로템,2677456585000,23216999000,KOSPI
16,LG디스플레이,22799273000000,-1202769000000,KOSPI
17,동양철관,147757879740,6300202207,KOSPI
18,대원전선,358784695672,2863155782,KOSPI
19,주연테크,62660877148,-3176838143,KOSPI
20,대한전선,1448315791000,15881848000,KOSPI
21,애경유화,718100006626,52026722175,KOSPI
22,제이준코스메틱,26027248023,-13363018552,KOSPI
23,태경비케이,118285730857,3177297979,KOSPI
24,일성건설,340707105151,4534885759,KOSPI
25,범양건영,149130151175,13831526278,KOSPI
26,티웨이항공,269273100420,-176389562326,KOSPI
27,사조동아원,391913286722,13743632140,KOSPI
28,후성,237239900296,13226857544,KOSPI
29,남선알미늄,268474785986,-2642503535,KOSPI
30,두산중공업,3451444902650,-2106389304062,KOSPI
31,아남전자,224335479,6043109,KOSPI
32,국동,167078106216,4878906329,KOSPI
33,광전자,144622090048,-14889642172,KOSPI
34,대유플러스,104126788993,4643698948,KOSPI
35,KEC,190463285862,-45196541320,KOSPI
36,대한항공,7405005608096,-988808937613,KOSPI
37,세원이앤씨,109931867464,-31106557198,KOSPI
38,TYM,387284201393,6229756009,KOSPI
39,에넥스,231275140862,-8401313345,KOSPI
40,한솔홈데코,248115961496,2442031287,KOSPI
41,한창,5849578200,-24562177658,KOSPI
42,대창,421320231752,3738897964,KOSPI
43,동양,444361323539,-16872049486,KOSPI
44,신성통상,1020453496725,20579009598,KOSPI
45,휴켐스,593511362369,75245454535,KOSPI
46,팬오션,2102895000000,91025000000,KOSPI
47,웅진,160111864571,49456763567,KOSPI
48,한세예스24홀딩스,19781181351,12805266251,KOSPI
49,넥스트사이언스,14637997900,-28936275373,KOSPI
50,SK하이닉스,30524987000000,5650034000000,KOSPI
51,진원생명과학,35774126191,-17337983349,KOSPI
52,삼성엔지니어링,5020786128327,310420940968,KOSPI
53,DB,224893353750,8401566116,KOSPI
54,삼성전자,166311191000000,20451923000000,KOSPI
55,예스24,612985949695,-267225672,KOSDAQ
56,팜스토리,960780357167,36033518040,KOSDAQ
57,자연과환경,29000331061,-4876096195,KOSDAQ
58,케이피엠테크,23208098065,-15690493213,KOSDAQ
59,SM Life Design,25072356358,-1871552489,KOSDAQ
60,아이비김영,45257135476,2457282251,KOSDAQ
61,SFA반도체,543233663558,11326729786,KOSDAQ
62,위즈코프,27401641595,2462274177,KOSDAQ
63,세진티에스,18670876140,1835916308,KOSDAQ
64,에스코넥,39784067253,-7318505700,KOSDAQ
65,이트론,41349066553,-9096117750,KOSDAQ
66,퀀타매트릭스,1706230800,-12850293227,KOSDAQ
67,심텍홀딩스,4256048078,19893436834,KOSDAQ
68,심텍,1030768857449,69546231616,KOSDAQ
69,에스에이엠티,1240458342248,34446386226,KOSDAQ
70,에이루트,20862301190,-17786576458,KOSDAQ
71,GH신소재,48737551445,-1790785448,KOSDAQ
72,오픈베이스,60405505310,2903754840,KOSDAQ
73,드래곤플라이,4169240204,-8279031260,KOSDAQ
