,name,sales,profit,market
0,마니커,215406024555,-35053705319,KOSPI
1,삼부토건,376331921995,8997259122,KOSPI
2,이아이디,77994442466,-20190067595,KOSPI
3,대유에이텍,370576442482,843296101,KOSPI
4,덕성,107264883829,3576466461,KOSPI
5,에이프로젠제약,31831238395,-925139109,KOSPI
6,인스코비,28795939799,7571406030,KOSPI
7,미래아이앤지,5772566444,24275913145,KOSPI
8,삼성출판사,56763601269,74865025541,KOSPI
9,신원,690237640165,-15193436771,KOSPI
10,신풍제약,187327145261,4294604870,KOSPI
11,대한해운,500046203876,-44429943031,KOSPI
12,코스모화학,112794561500,-26283188544,KOSPI
13,HMM,6223944000000,59667000000,KOSPI
14,쌍방울,89571692944,-34011885242,KOSPI
15,LG디스플레이,22799273000000,-1202769000000,KOSPI
16,동양철관,147757879740,6300202207,KOSPI
17,대원전선,358784695672,2863155782,KOSPI
18,주연테크,62660877148,-3176838143,KOSPI
19,DB하이텍,935919766484,209287302728,KOSPI
20,대한전선,1448315791000,15881848000,KOSPI
21,제이준코스메틱,26027248023,-13363018552,KOSPI
22,윌비스,168285888249,-3283947128,KOSPI
23,일성건설,340707105151,4534885759,KOSPI
24,범양건영,149130151175,13831526278,KOSPI
25,사조동아원,391913286722,13743632140,KOSPI
26,보해양조,78562428583,1193301863,KOSPI
27,후성,237239900296,13226857544,KOSPI
28,남선알미늄,268474785986,-2642503535,KOSPI
29,한솔로지스틱스,342734897569,7205284659,KOSPI
30,두산중공업,3451444902650,-2106389304062,KOSPI
31,아남전자,224335479,6043109,KOSPI
32,명신산업,148453325397,-132639991728,KOSPI
33,삼성중공업,6825532312130,-1413222320288,KOSPI
34,대유플러스,104126788993,4643698948,KOSPI
35,KEC,190463285862,-45196541320,KOSPI
36,대한항공,7405005608096,-988808937613,KOSPI
37,TYM,387284201393,6229756009,KOSPI
38,한솔홈데코,248115961496,2442031287,KOSPI
39,한창,5849578200,-24562177658,KOSPI
40,대창,421320231752,3738897964,KOSPI
41,동양,444361323539,-16872049486,KOSPI
42,신성통상,1020453496725,20579009598,KOSPI
43,팬오션,2102895000000,91025000000,KOSPI
44,웅진,160111864571,49456763567,KOSPI
45,한온시스템,2680084687965,-47713628990,KOSPI
46,대우건설,7637255920891,212016802723,KOSPI
47,넥스트사이언스,14637997900,-28936275373,KOSPI
48,한화시스템,1631867959508,89752740625,KOSPI
49,SK하이닉스,30524987000000,5650034000000,KOSPI
50,진원생명과학,35774126191,-17337983349,KOSPI
51,YG PLUS,70470966418,-2836557121,KOSPI
52,에이프로젠 MED,72536685082,-51043463696,KOSPI
53,삼성엔지니어링,5020786128327,310420940968,KOSPI
54,DB,224893353750,8401566116,KOSPI
55,삼성전자,166311191000000,20451923000000,KOSPI
56,새로닉스,62731194403,-2938506626,KOSDAQ
57,팜스토리,960780357167,36033518040,KOSDAQ
58,케이피엠테크,23208098065,-15690493213,KOSDAQ
59,삼기,326094388616,-7327268726,KOSDAQ
60,SFA반도체,543233663558,11326729786,KOSDAQ
61,에스코넥,39784067253,-7318505700,KOSDAQ
62,이트론,41349066553,-9096117750,KOSDAQ
63,디엔에이링크,13812934242,-13890890107,KOSDAQ
64,우진비앤지,25409675659,-5561780761,KOSDAQ
65,에스에이엠티,1240458342248,34446386226,KOSDAQ
66,홈센타홀딩스,18145627382,1260589667,KOSDAQ
67,에이루트,20862301190,-17786576458,KOSDAQ
68,에스엠코어,104035816132,195908588,KOSDAQ
69,GH신소재,48737551445,-1790785448,KOSDAQ
70,모트렉스,235113949860,-24326704624,KOSDAQ
71,오픈베이스,60405505310,2903754840,KOSDAQ
72,SDN,78729509381,8672307544,KOSDAQ
73,시너지이노베이션,20602616811,-24432790606,KOSDAQ
74,비트컴퓨터,35750730270,8121023980,KOSDAQ
75,나노엔텍,27440477723,1969714179,KOSDAQ
76,에이치엘비생명과학,14824117783,-43776584101,KOSDAQ
77,씨티씨바이오,98624268919,-14249499026,KOSDAQ
78,제이엠아이,12780625125,-7413288395,KOSDAQ
79,에코프로,101777271536,192410422367,KOSDAQ
80,인베니아,141250255982,-5516108238,KOSDAQ
81,아난티,59133612269,-8138187352,KOSDAQ
82,파인텍,63760475680,-28045274365,KOSDAQ
83,에스맥,97622233098,10314747260,KOSDAQ
84,영우디에스피,101611716397,7218566892,KOSDAQ
85,우리기술,33130236822,-1668013879,KOSDAQ
86,KMH하이텍,74741113468,1276417504,KOSDAQ
87,한국정보인증,45725171294,10711609916,KOSDAQ
88,코디엠,27963850016,-7526109505,KOSDAQ
89,대아티아이,113380720555,7756707225,KOSDAQ
90,엠케이전자,476530542040,10715964476,KOSDAQ
91,인성정보,105395601770,-6586901310,KOSDAQ
92,서희건설,1258385234169,172134269475,KOSDAQ
93,제이씨케미칼,234687923840,13145763580,KOSDAQ
